% Share price data file
% Columns are: [Decimal date, Apple, IBM, Microsoft]
2016.8,788.97,158.06,57.4
2016.7,742.98,158.32,57.01
2016.6,730.87,160.65,56.6
2016.5,668.43,152.19,51.13
2016.4,693.14,153,52.44
2016.3,657.72,146.56,50
2016.2,761.46,150.51,55.05
2016.2,683.55,132.24,50.97
2016.1,675.29,124.4,54.88
2016,718.27,135.6,54.32
2015.9,831.25,139.58,54.41
2015.8,845.6,140.5,52.85
2015.8,763.49,145.31,44.75
2015.7,771.05,144.91,42.17
2015.6,850.5,161.7,46.98
2015.5,888.3,163.97,44.46
2015.4,911.96,170.21,47.06
2015.3,882.7,173.2,48.58
2015.2,873.74,160.23,40.6
2015.2,904.75,161.94,43.67
2015.1,826.35,154,40.59
2015,779.73,161.31,46.66
2014.9,831.67,161.64,47.88
2014.8,757.54,164.25,46.89
2014.8,704.13,189.91,46.27
2014.7,721.42,192.39,45.43
2014.6,664.3,190.5,43.21
2014.5,654.64,181.7,41.86
2014.4,633.96,184.76,40.95
2014.3,592,196.31,40.24
2014.2,537.76,193.12,41.15
2014.2,523.42,183.33,37.92
2014.1,502.61,176.02,37.74
2014,555.68,187.21,37.35
2013.9,558,179.46,38.09
2013.8,524.02,179.81,35.67
2013.8,478.45,185.34,33.35
2013.7,493.1,183.63,31.75
2013.6,455.75,196.65,32.06
2013.5,402.69,192.15,34.75
2013.4,450.73,208.25,34.92
2013.3,444.46,201.87,32.93
2013.2,441.9,212.8,28.64
2013.2,438,200.65,27.72
2013.1,459.11,204.65,27.67
2013,553.82,194.09,27.25
2012.9,593.65,190.76,26.78
2012.8,598.22,194.68,28.84
2012.8,671.16,208.01,29.81
2012.7,665.76,196.61,30.45
2012.6,615.9,196.96,29.59
2012.5,584.73,196.36,30.62
2012.4,569.16,190.12,28.76
2012.3,584.9,207.18,32.05
2012.2,601.83,208.96,32.22
2012.2,548.17,197.23,31.93
2012.1,458.41,193.21,29.79
2012,409.4,186.73,26.55
2011.9,382.54,187.01,25.56
2011.8,397.41,181.55,26.19
2011.8,380.37,174.36,24.72
2011.7,385.82,172.71,26.46
2011.6,397.78,182.6,27.51
2011.5,335.95,171.61,25.93
2011.4,348.87,168.9,24.99
2011.3,349.74,172.11,25.94
2011.2,351.11,163.7,25.53
2011.2,355.47,163.15,26.6
2011.1,341.3,162.11,27.8
2011,325.64,147.21,28.05
2010.9,315.27,143.61,25.57
2010.8,302.22,143.64,26.88
2010.7,286.15,135.51,24.77
2010.7,283.75,134.14,24.49
2010.6,243.1,123.13,23.47
2010.5,257.25,127.77,25.67
2010.4,251.53,122.87,22.89
2010.3,256.88,124.64,25.66
2010.2,261.09,127.71,30.24
2010.2,235,126.97,29
2010.1,204.62,125.89,28.39
2010,192.06,120.63,27.77
2009.9,210.73,129.01,30.04
2009.8,199.91,124.53,28.99
2009.7,188.5,118.34,27.21
2009.7,185.35,117.36,25.24
2009.6,168.21,115.83,24.19
2009.5,163.39,115.17,22.95
2009.4,142.43,101.98,23.19
2009.3,135.81,103.8,20.38
2009.2,125.83,100.27,19.64
2009.2,105.12,94.13,17.81
2009.1,89.31,89.41,15.66
2009,90.13,88.56,16.47
2008.9,85.35,81.32,18.72
2008.8,92.67,78.85,19.47
2008.7,107.59,89.34,21.36
2008.7,113.66,112.39,25.53
2008.6,169.53,116.97,26.1
2008.5,158.95,122.5,24.5
2008.4,167.44,113.46,26.21
2008.3,188.75,123.89,26.98
2008.2,173.95,115.06,27.07
2008.2,143.5,109.76,26.94
2008.1,125.02,108.54,25.82
2008,135.36,101.72,30.83
2007.9,198.08,102.66,33.66
2007.8,182.22,99.89,31.77
2007.7,189.95,109.89,34.69
2007.7,153.47,111.48,27.77
2007.6,138.48,110.43,27.08
2007.5,131.76,104.34,27.23
2007.4,122.04,99.25,27.68
2007.3,121.19,100.52,28.82
2007.2,99.8,96.01,28.03
2007.2,92.91,88.54,26.09
2007.1,84.61,87.3,26.37
2007,85.73,92.85,28.79
2006.9,84.84,90.98,27.86
2006.8,91.66,86.08,27.39
2006.8,81.08,86.19,26.69
2006.7,76.98,76.49,25.43
2006.6,67.85,75.58,23.89
2006.5,67.96,71.97,22.29
2006.4,57.27,71.42,21.58
2006.3,59.77,74.29,20.98
2006.3,70.39,76.28,22.28
2006.2,62.72,76.4,25.11
2006.1,68.49,74.34,24.79
2006,75.51,75.13,25.89
2005.9,71.89,75.96,24.05
2005.8,67.82,82.15,25.45
2005.8,57.59,75.48,23.56
2005.7,53.61,73.95,23.59
2005.6,46.89,74.32,25.11
2005.5,42.65,76.76,23.41
2005.4,36.81,68.24,22.71
2005.3,39.76,69.48,23.59
2005.2,36.06,70.06,23.06
2005.2,41.67,83.82,22.03
2005.1,44.86,84.92,22.93
2005,38.45,85.52,23.88
2004.9,32.2,90.25,24.28
2004.8,33.53,86.28,24.36
2004.7,26.2,82.01,22.8
2004.7,19.38,78.34,22.54
2004.6,17.25,77.38,22.25
2004.5,16.17,79.39,23.16
2004.4,16.27,80.37,23.21
2004.3,14.03,80.78,21.32
2004.2,12.89,80.23,21.24
2004.2,13.52,83.57,20.26
2004.1,11.96,87.81,21.56
2004,11.28,90.15,22.47
2003.9,10.69,84.2,22.24
2003.8,10.45,82.25,20.9
2003.7,11.44,81.14,21.25
2003.7,10.36,80.1,22.47
2003.6,11.31,74.37,21.43
2003.5,10.54,73.53,21.34
2003.4,9.53,74.66,20.72
2003.3,8.98,79.68,19.89
2003.2,7.11,76.7,20.67
2003.2,7.07,70.85,19.57
2003.1,7.51,70.42,19.15
2003,7.18,70.51,19.12
2002.9,7.16,69.87,20.83
2002.8,7.75,78.37,23.23
2002.7,8.03,71.04,21.54
2002.7,7.25,52.48,17.62
2002.6,7.38,67.84,19.77
2002.5,7.63,63.22,19.33
2002.4,8.86,64.65,22.03
2002.3,11.65,72.24,20.51
2002.2,12.14,75.07,21.05
2002.2,11.84,93.2,24.29
2002.1,10.85,87.94,23.5
2002,12.36,96.56,25.66
2001.9,10.95,108.26,26.69
2001.8,10.65,103.46,25.86
2001.7,8.78,96.61,23.42
2001.7,7.76,81.99,20.61
2001.6,9.27,89.35,22.98
2001.5,9.4,93.93,26.66
2001.4,11.62,101.33,29.41
2001.3,9.98,99.81,27.87
2001.2,12.74,102.67,27.29
2001.2,11.03,85.76,22.03
2001.1,9.12,89.08,23.77
2001,10.81,99.75,24.6
2000.9,7.44,75.7,17.47
2000.8,8.25,83.28,23.11
2000.8,9.78,87.62,27.74
2000.7,12.88,100.18,24.29
2000.6,30.47,117.43,28.12
2000.5,25.41,99.74,28.12
2000.4,26.19,97.35,32.22
2000.3,21,95.35,25.2
2000.3,31.01,98.95,28.1
2000.2,33.95,105.05,42.8
2000.1,28.66,91.19,36
2000,25.94,99.51,39.42
1999.9,25.7,95.63,47.03
1999.8,24.47,91.36,36.68
1999.7,20.03,86.98,37.28
1999.7,15.83,107.13,36.48
1999.6,16.31,110.28,37.28
1999.5,13.92,111.17,34.57
1999.4,11.58,114.32,36.33
1999.3,11.02,102.6,32.5
1999.2,11.5,92.41,32.75
1999.2,8.98,78.3,36.1
1999.1,8.7,74.98,30.24
1999,10.3,80.84,35.25
1998.9,10.23,81.34,27.93
1998.8,7.99,72.85,24.57
1998.7,9.28,65.41,21.32
1998.7,9.53,56.6,22.17
1998.6,7.8,49.61,19.32
1998.5,8.66,58.27,22.14
1998.4,7.17,50.49,21.83
1998.3,6.66,51.67,17.08
1998.2,6.84,50.86,18.15
1998.2,6.88,45.59,18.03
1998.1,5.91,45.84,17.07
1998,4.58,43.26,15.02
1997.9,3.28,45.83,13.02
1997.8,4.44,47.97,14.25
1997.7,4.26,43.06,13.09
1997.7,5.42,46.34,13.32
1997.6,5.44,44.32,13.31
1997.5,4.38,46.15,14.24
1997.4,3.56,39.38,12.73
1997.3,4.16,37.75,12.49
1997.2,4.25,35.02,12.24
1997.2,4.56,29.95,9.23
1997.1,4.06,31.36,9.82
1997,4.16,34.15,10.27
1996.9,5.22,32.98,8.32
1996.8,6.03,34.69,7.9
1996.7,5.75,28,6.91
1996.7,5.55,27.03,6.64
1996.6,6.06,24.83,6.17
1996.5,5.5,23.26,5.93
1996.4,5.25,21.42,6.05
1996.3,6.53,23.1,5.98
1996.2,6.09,23.24,5.7
1996.2,6.14,23.99,5.19
1996.1,6.88,26.45,4.97
